,unique_id,material,label,minor_axis_length,area,eccentricity,major_axis_length,bbox,red_intensity_mean,green_intensity_mean,blue_intensity_mean,red_intensity_sd,green_intensity_sd,blue_intensity_sd,hue_intensity_mean,sat_intensity_mean,val_intensity_mean,hue_intensity_sd,sat_intensity_sd,val_intensity_sd
15,pyt_2018_lwr5_2468_2021_1004,berry,16,1.782453691397104,3.9708466629133654,0.7821073843693579,2.8604217033314474,"(646, 785, 766, 914)",114.54132231404958,24.1730841472577,20.398572501878288,37.60480947860805,11.691156210502612,9.365443831318993,26.730090157776107,210.67289631855746,114.54132231404958,62.24345716697503,13.192549414579322,37.60480947860805
16,pyt_2018_lwr5_2468_2021_1004,berry,17,1.8607564110129804,3.5781624465302158,0.6557992508671242,2.4647891723480964,"(651, 233, 753, 359)",138.61334028139657,53.23439291297551,32.32204273058885,32.092790643727675,31.65834392390157,19.496980399715145,5.659093277748828,199.58447107868682,138.61334028139657,4.0517483036274005,22.505413131927646,32.092790643727675
17,pyt_2018_lwr5_2468_2021_1004,berry,18,1.9195030151534822,4.444081487785366,0.7618908027478256,2.9635429035676744,"(731, 334, 863, 463)",100.3792900897877,21.104472602164975,17.697574893009985,29.440643651220512,9.312315442371903,8.556776991614102,10.620793823948981,209.64714273726608,100.3792900897877,39.623318025069565,19.232066632160958,29.440643651220512
18,pyt_2018_lwr5_2468_2021_1004,berry,19,1.8780820199566115,3.919383774156599,0.7132614258638557,2.6795364913216893,"(736, 686, 849, 815)",90.32949571836346,17.631018078020933,18.808468125594672,25.580413602387306,7.708763335969471,8.287860083905388,90.40494766888678,205.0861084681256,90.32949571836346,89.03885688008359,20.979916706871006,25.580413602387306
19,pyt_2018_lwr5_2468_2021_1004,berry,20,1.8423119607042509,3.678477787657535,0.6961757538004337,2.5663538193278153,"(740, 518, 850, 641)",120.85279805352798,30.428629359286294,23.03477291159773,37.65651611444298,17.382632012680187,13.006319323506728,18.033657745336576,207.78365774533657,120.85279805352798,50.34896554921833,19.279584668732856,37.65651611444298
20,pyt_2018_lwr5_2468_2021_1004,berry,21,1.501990568956466,2.2908443886435763,0.6369206800926016,1.9482856482794804,"(743, 165, 831, 260)",180.9288621194856,148.85104997558196,49.1800423245971,27.841251080367087,46.41357779359498,15.578417856512079,22.103369689077,186.3566661240436,180.9288621194856,6.758446644722308,20.523815765990598,27.841251080367087
21,pyt_2018_lwr5_2468_2021_1004,berry,22,1.8849739808630013,3.620302348193365,0.6426803443657502,2.460369735099888,"(825, 793, 926, 921)",80.36825298722702,18.80984754841368,19.407704985578903,25.150299121427295,7.429430242092805,7.901942721306938,97.22177585496497,195.77389781623404,80.36825298722702,88.21343413882792,23.24221430775807,25.150299121427295
22,pyt_2018_lwr5_2468_2021_1004,berry,23,1.821298076656948,3.767232624788769,0.7252834483393856,2.6455037885041075,"(913, 522, 1043, 621)",129.03098396357157,41.19431795684023,29.2676697683627,37.79431630134538,24.70738183759925,15.315497528848415,19.482577707384678,198.8512175806771,129.03098396357157,50.43514905218881,20.82506109647038,37.79431630134538
23,pyt_2018_lwr5_2468_2021_1004,berry,24,1.8646562632223025,3.3070499818478325,0.5665026787899344,2.26276787467463,"(916, 703, 1027, 807)",98.15257104194858,26.301646368967074,23.99233198015336,47.4034623910525,17.191465033566505,13.440690977342905,60.05863779882724,193.08062697338747,98.15257104194858,82.99862066090651,24.765383886173613,47.4034623910525
24,pyt_2018_lwr5_2468_2021_1004,berry,25,1.7659542254832872,3.34508776918979,0.6843258659297605,2.421848010030621,"(922, 354, 1023, 471)",94.53868450390189,21.108472686733556,21.240691192865107,25.668669823981322,9.634950407277831,9.395943927409522,68.9025641025641,200.39710144927537,94.53868450390189,86.38037709743166,21.383000793271464,25.668669823981322
